timestamp,turbine_id,wind_speed,wind_direction,power_output
2022-03-01 00:00:00,6,15.0,112,4.2
2022-03-01 00:00:00,7,10.8,308,3.9
2022-03-01 00:00:00,8,12.6,201,2.9
2022-03-01 00:00:00,9,9.5,8,3.2
2022-03-01 00:00:00,10,10.7,44,3.4
2022-03-01 01:00:00,6,14.4,213,3.5
2022-03-01 01:00:00,7,14.8,246,4.5
2022-03-01 01:00:00,8,11.4,289,3.2
2022-03-01 01:00:00,9,13.1,0,1.6
2022-03-01 01:00:00,10,14.5,337,3.3
2022-03-01 02:00:00,6,14.4,123,2.3
2022-03-01 02:00:00,7,12.6,180,4.3
2022-03-01 02:00:00,8,14.6,279,3.4
2022-03-01 02:00:00,9,9.7,187,3.7
2022-03-01 02:00:00,10,13.2,280,2.5
2022-03-01 03:00:00,6,10.3,276,1.6
2022-03-01 03:00:00,7,13.4,112,2.2
2022-03-01 03:00:00,8,10.6,36,2.8
2022-03-01 03:00:00,9,10.3,241,2.8
2022-03-01 03:00:00,10,12.8,137,3.5
2022-03-01 04:00:00,6,13.1,265,4.3
2022-03-01 04:00:00,7,10.8,219,2.8
2022-03-01 04:00:00,8,14.1,17,2.9
2022-03-01 04:00:00,9,11.9,169,1.8
2022-03-01 04:00:00,10,13.4,330,3.9
2022-03-01 05:00:00,6,9.6,1,3.2
2022-03-01 05:00:00,7,11.5,140,2.0
2022-03-01 05:00:00,8,10.4,320,3.1
2022-03-01 05:00:00,9,10.1,119,2.3
2022-03-01 05:00:00,10,14.0,15,3.7
2022-03-01 06:00:00,6,10.6,247,2.9
2022-03-01 06:00:00,7,10.6,219,1.7
2022-03-01 06:00:00,8,10.2,121,2.8
2022-03-01 06:00:00,9,12.9,227,3.9
2022-03-01 06:00:00,10,12.5,303,2.6
2022-03-01 07:00:00,6,10.6,340,2.5
2022-03-01 07:00:00,7,9.0,281,3.5
2022-03-01 07:00:00,8,12.2,8,1.7
2022-03-01 07:00:00,9,12.7,137,2.9
2022-03-01 07:00:00,10,12.0,72,2.4
2022-03-01 08:00:00,6,13.1,335,4.5
2022-03-01 08:00:00,7,14.7,115,3.9
2022-03-01 08:00:00,8,14.4,339,4.2
2022-03-01 08:00:00,9,10.8,357,2.5
2022-03-01 08:00:00,10,9.4,344,3.0
2022-03-01 09:00:00,6,14.8,89,2.1
2022-03-01 09:00:00,7,10.7,203,1.6
2022-03-01 09:00:00,8,12.8,118,4.2
2022-03-01 09:00:00,9,14.6,85,3.2
2022-03-01 09:00:00,10,11.2,151,3.8
2022-03-01 10:00:00,6,11.6,189,4.1
2022-03-01 10:00:00,7,14.0,7,2.6
2022-03-01 10:00:00,8,9.9,298,4.4
2022-03-01 10:00:00,9,14.7,98,3.4
2022-03-01 10:00:00,10,14.7,208,4.4
2022-03-01 11:00:00,6,9.1,142,3.7
2022-03-01 11:00:00,7,13.7,329,4.5
2022-03-01 11:00:00,8,12.8,42,2.9
2022-03-01 11:00:00,9,11.0,352,4.2
2022-03-01 11:00:00,10,11.2,329,3.1
2022-03-01 12:00:00,6,9.9,324,1.7
2022-03-01 12:00:00,7,14.5,184,3.2
2022-03-01 12:00:00,8,10.4,167,1.8
2022-03-01 12:00:00,9,11.8,75,2.8
2022-03-01 12:00:00,10,10.2,91,1.6
2022-03-01 13:00:00,6,9.1,351,3.7
2022-03-01 13:00:00,7,10.8,128,3.8
2022-03-01 13:00:00,8,12.5,224,3.5
2022-03-01 13:00:00,9,9.4,76,1.6
2022-03-01 13:00:00,10,10.8,43,4.5
2022-03-01 14:00:00,6,11.0,199,2.4
2022-03-01 14:00:00,7,12.1,76,1.7
2022-03-01 14:00:00,8,9.0,248,4.3
2022-03-01 14:00:00,9,12.8,79,1.5
2022-03-01 14:00:00,10,9.3,3,1.5
2022-03-01 15:00:00,6,13.4,305,2.9
2022-03-01 15:00:00,7,13.3,176,3.8
2022-03-01 15:00:00,8,14.5,108,1.6
2022-03-01 15:00:00,9,9.1,184,2.5
2022-03-01 15:00:00,10,9.7,27,3.6
2022-03-01 16:00:00,6,11.2,176,2.6
2022-03-01 16:00:00,7,13.8,259,3.2
2022-03-01 16:00:00,8,14.0,143,3.3
2022-03-01 16:00:00,9,14.9,206,1.8
2022-03-01 16:00:00,10,12.8,210,2.7
2022-03-01 17:00:00,6,10.7,29,2.0
2022-03-01 17:00:00,7,12.4,102,2.4
2022-03-01 17:00:00,8,12.5,309,2.5
2022-03-01 17:00:00,9,12.8,62,4.0
2022-03-01 17:00:00,10,14.5,293,1.7
2022-03-01 18:00:00,6,11.5,254,2.1
2022-03-01 18:00:00,7,10.0,182,3.4
2022-03-01 18:00:00,8,10.0,102,3.1
2022-03-01 18:00:00,9,14.3,126,2.3
2022-03-01 18:00:00,10,11.1,180,4.1
2022-03-01 19:00:00,6,12.2,268,3.7
2022-03-01 19:00:00,7,10.6,40,2.4
2022-03-01 19:00:00,8,9.1,201,1.6
2022-03-01 19:00:00,9,10.5,109,1.8
2022-03-01 19:00:00,10,12.5,205,4.5
